Year model,Car Spec,Kilometres,Price,Transmission,Body type,Drive type,Fuel type,Fuel consumption per 100km,Colour ext,VIN,Dealer,Address,Seating capacity,Doors,CC,Number of cylinders,Fuel tank capacity,Valve gear type,Peak torque (Nm),Horsepower,Kerb weight,Make,Model,Variant,Lat,Lon
2022,2022 Mitsubishi Eclipse Cross ES (2WD) YB MY22,30151,31999,Continuous Variable,Suv,Front Wheel Drive,Unleaded Petrol,7.3,White,JMFXTGK1WNZ002903,John Hughes Used Cars Wangara,"8/10 Prindiville Drive, Wangara, WA",5,4,1499,4,63,16,250,148,1472,Mitsubishi,Eclipse Cross,ES (2WD),-31.79166,115.81549
2016,2016 Kia RIO S UB MY16,99032,13985,Automatic,Hatch,Front Wheel Drive,Unleaded Petrol,6.3,Grey,KNADN512MG6656995,Auto Planet WA,"468 Albany Highway, Victoria Park, WA",5,5,1396,4,43,16,135,106,1170,Kia,RIO,S,-31.976168,115.898473
2008,2008 Land Rover Range Rover Sport 2.7 TDV6 MY08,186627,18990,Automatic,Suv,Four Wheel Drive,Diesel,10.2,Black,SALLSAA138A159279,Zai Motors,"1042 Albany Highway, Saint James, WA",5,4,2720,6,90,24,440,188,2455,Land Rover,Range Rover Sport,2.7 TDV6,-31.996515,115.914741
2020,2020 Hyundai Kona Active (fwd) Os.v4 MY21,48703,26999,Continuous Variable,Suv,Front Wheel Drive,Unleaded Petrol,6.2,White,KMHK281AMLU675268,John Hughes Used Cars Wangara,"8/10 Prindiville Drive, Wangara, WA",5,4,1999,4,50,16,180,148,1280,Hyundai,Kona,Active (fwd),-31.79166,115.81549
2020,2020 Hyundai I30 Active PD2 MY20,60300,24999,Automatic,Hatch,Front Wheel Drive,Unleaded Petrol,7.4,Silver,KMHH351EMLU132639,John Hughes Used Cars Wangara,"8/10 Prindiville Drive, Wangara, WA",5,4,1999,4,50,16,203,161,1276,Hyundai,I30,Active,-31.79166,115.81549
2019,2019 Toyota Hilux SR (4X4) GUN126R MY19,102036,48290,Automatic,Ute tray,Four Wheel Drive,Diesel,8.5,White,MR0KA3CD401232005,AUS Vehicle Sales - Bassendean,"324 Collier Road, Bassendean, WA",5,4,2753,4,80,16,450,175,2075,Toyota,Hilux,SR (4X4),-31.906315,115.932176
2021,2021 Subaru Outback AWD Sport MY21,51110,42987,Continuous Variable,Suv,All Wheel Drive,Unleaded Petrol,7.3,Grey,JF2BT9KL3MG003183,easyauto123 (Cannington),"1261 Albany Highway, Cannington, WA",5,4,2498,4,63,16,245,186,1629,Subaru,Outback,AWD Sport,-32.012637,115.926416
2008,2008 Mitsubishi Pajero GLX LWB (4X4) NS,331851,14990,Automatic,Suv,Four Wheel Drive,Diesel,10.5,White,JMFLYV98W8J001555,Motor Mall WA,"41 Buckingham Drive, Wangara, WA",7,4,3200,4,88,16,358,168,2110,Mitsubishi,Pajero,GLX LWB (4X4),-31.78645,115.81995
2021,2021 Volkswagen Polo 70TSI Trendline AW MY21,30555,21987,Automatic,Hatch,Front Wheel Drive,Premium Unleaded Petrol,5.0,White,WVWZZZAWZMU082339,Wanneroo Mitsubishi,"6 Lancaster Road, Wangara, WA",5,5,999,3,40,12,175,94,1104,Volkswagen,Polo,70TSI Trendline,-31.79716,115.81643
2021,2021 Hyundai Kona Active (fwd) Os.v4 MY21,43622,25290,Continuous Variable,Suv,Front Wheel Drive,Unleaded Petrol,6.2,White,KMHK281BTMU816590,AUS Vehicle Sales - Bassendean,"324 Collier Road, Bassendean, WA",5,4,1999,4,50,16,180,148,1280,Hyundai,Kona,Active (fwd),-31.906315,115.932176
