Year model,Car Spec,Kilometres,Price,Transmission,Body type,Drive type,Fuel type,Fuel consumption per 100km,Colour ext,VIN,Dealer,Address,Seating capacity,Doors,CC,Number of cylinders,Fuel tank capacity,Valve gear type,Maximum torque,Maximum power (kW),Kerb weight,Make,Model,Variant,lat,lon
2019,2019 Toyota Camry Ascent (hybrid) Axvh71R MY19,117694,32888,Continuous Variable,Sedan,Front Wheel Drive,Premium Unleaded/Electric,4.2,Blue,JTNB23HK403050033,City Toyota Perth,"220 Newcastle Street, Northbridge, WA",5,4,2494,4,50,16,231 @ 4100 RPM,133 @ 5700 RPM,1580,Toyota,Camry,Ascent (hybrid),-31.9432313,115.8544195
2013,2020 Kia Sportage GT-Line (awd) QL MY20,56205,35888,Automatic,Suv,All Wheel Drive,Unleaded Petrol,8.5,White,KNAPR81CSL7818714,Osborne Park CJD used,"474 Scarborough Beach Road, Osborne Park, WA",5,4,2359,4,62,16,237 @ 4000 RPM,135 @ 6000 RPM,1642,Kia,Sportage,GT-Line (awd),-31.90425,115.80696
2009,2009 Dodge Nitro SXT KA MY08,170819,9999,Automatic,Suv,4x4,Unleaded Petrol,12.1,Black,1D8G958K19W555994,The Car Guys,"1143 Albany Highway, Bentley, WA",5,4,3700,6,73,12,314 @ 4000 RPM,151 @ 5200 RPM,1875,Dodge,Nitro,SXT,-32.00236,115.91905
2011,2011 Mitsubishi Triton GL-R (4X4) MN MY11,280102,11990,Manual,Ute tray,4x4,Diesel,9.1,Silver,MMAJNKB40BD010602,Motoroo,"1787 Albany Highway, Kenwick, WA",5,4,2477,4,75,16,400 @ 2000 RPM,131 @ 4000 RPM,1920,Mitsubishi,Triton,GL-R (4X4),-32.04529,115.97387
2020,2019 Subaru Liberty 2.5I AWD MY20,59213,26988,Continuous Variable,Sedan,All Wheel Drive,Unleaded Petrol,7.3,Other,JF1BN9KC2KG030947,Westside Auto Wholesale,"42 Ewing Street, Bentley, WA",5,4,2498,4,60,16,235 @ 4000 RPM,129 @ 5800 RPM,1512,Subaru,Liberty,2.5I AWD,-31.99962,115.9236
2019,2018 Ford Ranger XLS 3.2 (4X4) (5 YR) PX Mkii MY18,161397,32980,Automatic,Ute tray,4x4,Diesel,8.7,White,MPBUMFF50JX166764,Webb Auto Sales,"76 Division Street, Welshpool, WA",5,4,3198,5,80,20,470 @ 1500 RPM,147 @ 3000 RPM,1938,Ford,Ranger,XLS 3.2 (4X4) (5 YR),-31.987188,115.935923
2008,2008 Honda Accord V6 Luxury 50,177670,9990,Automatic,Sedan,Front Wheel Drive,Unleaded Petrol,10.0,Other,MRHCP36408P061496,Motoroo,"1787 Albany Highway, Kenwick, WA",5,4,3471,6,70,24,339 @ 5000 RPM,202 @ 6200 RPM,1650,Honda,Accord,V6 Luxury,-32.04529,115.97387
2013,2013 Ford Kuga Titanium (awd) TF,142473,13990,Automatic,Suv,All Wheel Drive,Diesel,6.4,Blue,WF0AXXWPMADJ86015,Motoroo,"1787 Albany Highway, Kenwick, WA",5,4,1997,4,60,16,340 @ 2000 RPM,120 @ 3750 RPM,1796,Ford,Kuga,Titanium (awd),-32.04529,115.97387
2010,2010 Audi A3 Sportback 1.8 Tfsi Ambition 8P MY09,127695,10990,Other,Hatch,Front Wheel Drive,Premium Unleaded Petrol,8.5,Red,WAUZZZ8P9AA162222,Motoroo,"1787 Albany Highway, Kenwick, WA",5,5,1798,4,55,16,250 @ 1500 RPM,118 @ 5000 RPM,1345,Audi,A3,Sportback 1.8 Tfsi Ambition,-32.04529,115.97387
2009,2009 Hyundai I30 SX FD MY09,191311,9990,Automatic,Hatch,Front Wheel Drive,Unleaded Petrol,7.6,Silver,KMHDB51ER9U170314,Uppill Place Car Disposal Centre,"77 Buckingham Drive, Wangara, WA",5,5,1975,4,53,16,186 @ 4600 RPM,105 @ 6000 RPM,1377,Hyundai,I30,SX,-31.78773,115.82755
2013,2013 Ford Kuga Trend (awd) TF,131662,12750,Automatic,Suv,All Wheel Drive,Premium Unleaded Petrol,8.0,Other,WF0AXXWPMADP36721,Webb Auto Sales,"76 Division Street, Welshpool, WA",5,4,1596,4,60,16,240 @ 4000 RPM,134 @ 5700 RPM,1675,Ford,Kuga,Trend (awd),-31.987188,115.935923
2010,2010 Nissan Dualis ST (4X2) J10 Series II,115116,12990,Other,Suv,Front Wheel Drive,Unleaded Petrol,8.2,Grey,SJNFBAJ10A2160616,DNA CAR SALES,"16 Baretta Road, Wangara, WA",5,4,1997,4,65,16,198 @ 4500 RPM,102 @ 5200 RPM,1455,Nissan,Dualis,ST (4X2),-31.79241,115.82027
